rep,alp,num_cell,cell_size,sparse_freq,error
0,10.0,500,1,1,4.490369027314442
0,10.0,500,1,2,4.441250357999607
0,10.0,500,1,4,4.710456481972282
0,10.0,500,1,8,4.984746937043764
0,10.0,500,2,1,3.80741418031694
0,10.0,500,2,2,4.6481207218742915
0,10.0,500,2,4,5.768088044678419
0,10.0,500,2,8,6.576873732779414
0,10.0,500,4,1,3.7715870365688318
0,10.0,500,4,2,4.965296666865962
0,10.0,500,4,4,7.499691511803455
0,10.0,500,4,8,10.060185515738961
0,10.0,500,8,1,3.9903142008963406
0,10.0,500,8,2,5.2087522211109
0,10.0,500,8,4,8.336687506530575
0,10.0,500,8,8,12.214455086307368
0,10.0,300,1,1,6.379540117006256
0,10.0,300,1,2,5.839998887466952
0,10.0,300,1,4,6.086364966133444
0,10.0,300,1,8,6.160782592900225
0,10.0,300,2,1,4.9677418579753585
0,10.0,300,2,2,5.140898445068699
0,10.0,300,2,4,6.135895982897645
0,10.0,300,2,8,6.93394695403189
0,10.0,300,4,1,4.726577834427604
0,10.0,300,4,2,5.268502465131592
0,10.0,300,4,4,7.592976095064741
0,10.0,300,4,8,10.161859178221661
0,10.0,300,8,1,4.7892684021040814
0,10.0,300,8,2,5.455421816621115
0,10.0,300,8,4,8.472107619325177
0,10.0,300,8,8,12.274159643926732
0,10.0,200,1,1,8.890467959124905
0,10.0,200,1,2,7.8215365218882935
0,10.0,200,1,4,7.606259689387573
0,10.0,200,1,8,7.857070129850606
0,10.0,200,2,1,7.364923608698389
0,10.0,200,2,2,6.151589735541054
0,10.0,200,2,4,6.823805081909831
0,10.0,200,2,8,7.429950376527171
0,10.0,200,4,1,6.524587637195872
0,10.0,200,4,2,5.792073443647907
0,10.0,200,4,4,7.8443496292527035
0,10.0,200,4,8,10.321228217736852
0,10.0,200,8,1,6.313281926741704
0,10.0,200,8,2,5.86212077591848
0,10.0,200,8,4,8.589902148150172
0,10.0,200,8,8,12.356439099483245
0,10.0,100,1,1,15.356953023453277
0,10.0,100,1,2,13.267942839413404
0,10.0,100,1,4,12.121844638158032
0,10.0,100,1,8,12.160863476512873
0,10.0,100,2,1,13.81277023672474
0,10.0,100,2,2,10.153056702012803
0,10.0,100,2,4,9.39601282820916
0,10.0,100,2,8,9.624062628741232
0,10.0,100,4,1,12.494754453568925
0,10.0,100,4,2,8.798169977466483
0,10.0,100,4,4,8.699855005217984
0,10.0,100,4,8,10.889418766424434
0,10.0,100,8,1,11.877583433519414
0,10.0,100,8,2,8.213673463359456
0,10.0,100,8,4,9.234012912938685
0,10.0,100,8,8,12.66282803109626
0,1.0,500,1,1,2.7629519545981918
0,1.0,500,1,2,2.728223409549172
0,1.0,500,1,4,3.0016112768925227
0,1.0,500,1,8,3.330230476720218
0,1.0,500,2,1,1.94196027683289
0,1.0,500,2,2,2.760453901699538
0,1.0,500,2,4,4.331638053475655
0,1.0,500,2,8,5.078289886145198
0,1.0,500,4,1,1.755368309390177
0,1.0,500,4,2,3.3017455368468194
0,1.0,500,4,4,5.917678997135175
0,1.0,500,4,8,8.244539476699796
0,1.0,500,8,1,1.7799217224054054
0,1.0,500,8,2,3.490668254369147
0,1.0,500,8,4,6.515693792258997
0,1.0,500,8,8,9.273872500262392
0,1.0,300,1,1,5.528389228643268
0,1.0,300,1,2,4.630733750536666
0,1.0,300,1,4,4.813171339893062
0,1.0,300,1,8,4.86085335668796
0,1.0,300,2,1,4.1240334967983525
0,1.0,300,2,2,3.6005132309329246
0,1.0,300,2,4,4.704030909689732
0,1.0,300,2,8,5.537265416121411
0,1.0,300,4,1,3.519706831774576
0,1.0,300,4,2,3.6981683063405164
0,1.0,300,4,4,6.046077863014565
0,1.0,300,4,8,8.355095511255229
0,1.0,300,8,1,3.3336828684332223
0,1.0,300,8,2,3.835633182302459
0,1.0,300,8,4,6.621443459606789
0,1.0,300,8,8,9.434188160620923
0,1.0,200,1,1,8.86940126722832
0,1.0,200,1,2,7.530138622289662
0,1.0,200,1,4,7.486627992217034
0,1.0,200,1,8,6.8688165774255765
0,1.0,200,2,1,7.3277184347173225
0,1.0,200,2,2,5.298490474866956
0,1.0,200,2,4,5.6580237879328905
0,1.0,200,2,8,6.368454808215813
0,1.0,200,4,1,6.45953538434397
0,1.0,200,4,2,4.59014875981237
0,1.0,200,4,4,6.249739069260243
0,1.0,200,4,8,8.503862513165547
0,1.0,200,8,1,6.073624933293319
0,1.0,200,8,2,4.482017615212614
0,1.0,200,8,4,6.8008235993619675
0,1.0,200,8,8,9.5534203999987
0,1.0,100,1,1,15.110525598277553
0,1.0,100,1,2,14.546754240360404
0,1.0,100,1,4,14.23030603333063
0,1.0,100,1,8,13.874792836335276
0,1.0,100,2,1,13.794771995416147
0,1.0,100,2,2,11.954755365221203
0,1.0,100,2,4,11.866951875438142
0,1.0,100,2,8,10.548611510690248
0,1.0,100,4,1,12.956405610743191
0,1.0,100,4,2,9.538291456348459
0,1.0,100,4,4,7.648040480630275
0,1.0,100,4,8,9.22070974435793
0,1.0,100,8,1,12.254412732101502
0,1.0,100,8,2,8.67880098912786
0,1.0,100,8,4,7.623025357066735
0,1.0,100,8,8,10.07878699678985
0,0.1,500,1,1,5.879573908308468
0,0.1,500,1,2,3.940329367720806
0,0.1,500,1,4,3.9622475528626446
0,0.1,500,1,8,4.00104080010825
0,0.1,500,2,1,2.9333330183318
0,0.1,500,2,2,1.9098207143951529
0,0.1,500,2,4,3.2599083907472695
0,0.1,500,2,8,4.18176377679468
0,0.1,500,4,1,1.8707461103852345
0,0.1,500,4,2,2.002163670330917
0,0.1,500,4,4,4.793279138788367
0,0.1,500,4,8,7.020573763100475
0,0.1,500,8,1,1.4423481001451028
0,0.1,500,8,2,2.0369258516325104
0,0.1,500,8,4,4.436177231188321
0,0.1,500,8,8,6.683741003272653
0,0.1,300,1,1,13.252067836413982
0,0.1,300,1,2,12.190635238756595
0,0.1,300,1,4,13.02679059685825
0,0.1,300,1,8,13.353268661101179
0,0.1,300,2,1,8.786058948592624
0,0.1,300,2,2,4.588325047945652
0,0.1,300,2,4,4.1740337601426445
0,0.1,300,2,8,5.122693543024234
0,0.1,300,4,1,6.811726097455608
0,0.1,300,4,2,2.7903526591896024
0,0.1,300,4,4,4.958155439161495
0,0.1,300,4,8,7.129383813199301
0,0.1,300,8,1,5.6852227986477075
0,0.1,300,8,2,2.568861345908329
0,0.1,300,8,4,4.726485827115721
0,0.1,300,8,8,6.864991549759656
0,0.1,200,1,1,18.671888279610865
0,0.1,200,1,2,21.728196539089677
0,0.1,200,1,4,24.450662019656296
0,0.1,200,1,8,23.897476720685862
0,0.1,200,2,1,15.117675268697406
0,0.1,200,2,2,17.64806939391727
0,0.1,200,2,4,14.347395423286029
0,0.1,200,2,8,15.896992265776081
0,0.1,200,4,1,13.432223397365327
0,0.1,200,4,2,12.709492681599562
0,0.1,200,4,4,5.3906922267094295
0,0.1,200,4,8,7.321027690266606
0,0.1,200,8,1,11.332589199843614
0,0.1,200,8,2,7.804965116433897
0,0.1,200,8,4,5.164046617907688
0,0.1,200,8,8,7.15982193070091
0,0.1,100,1,1,26.919495621897404
0,0.1,100,1,2,30.706316553467275
0,0.1,100,1,4,33.48702928326885
0,0.1,100,1,8,36.53672964802409
0,0.1,100,2,1,25.622882066986556
0,0.1,100,2,2,33.36141554155092
0,0.1,100,2,4,40.10910242134444
0,0.1,100,2,8,43.91303428283608
0,0.1,100,4,1,24.635604975963922
0,0.1,100,4,2,32.565423171616175
0,0.1,100,4,4,36.817188942277056
0,0.1,100,4,8,31.007933616641925
0,0.1,100,8,1,22.198391500401062
0,0.1,100,8,2,32.03654973544149
0,0.1,100,8,4,34.75210724074324
0,0.1,100,8,8,27.495081929946537
0,0.01,500,1,1,24.944879955217758
0,0.01,500,1,2,34.79606138938876
0,0.01,500,1,4,40.897162818901535
0,0.01,500,1,8,44.9089584436383
0,0.01,500,2,1,22.43481259204184
0,0.01,500,2,2,19.843608224917997
0,0.01,500,2,4,17.782801448133814
0,0.01,500,2,8,29.800471472370802
0,0.01,500,4,1,21.84791710744056
0,0.01,500,4,2,1.3795161208855817
0,0.01,500,4,4,3.7194059418545233
0,0.01,500,4,8,14.60274684097186
0,0.01,500,8,1,20.724098401308538
0,0.01,500,8,2,4.344141661187045
0,0.01,500,8,4,2.928792180902567
0,0.01,500,8,8,5.072854085401762
0,0.01,300,1,1,28.907021935955466
0,0.01,300,1,2,44.55786395468097
0,0.01,300,1,4,55.19167425282399
0,0.01,300,1,8,58.44813396780814
0,0.01,300,2,1,30.2485489300202
0,0.01,300,2,2,53.6915297322607
0,0.01,300,2,4,59.42391417798822
0,0.01,300,2,8,64.43161756451549
0,0.01,300,4,1,31.467010419659772
0,0.01,300,4,2,48.822299652508946
0,0.01,300,4,4,26.27069155488162
0,0.01,300,4,8,48.89858006793155
0,0.01,300,8,1,31.17087468045654
0,0.01,300,8,2,51.95676007166705
0,0.01,300,8,4,29.337155252063745
0,0.01,300,8,8,32.80956861208307
0,0.01,200,1,1,31.342704291504386
0,0.01,200,1,2,47.17970367092784
0,0.01,200,1,4,58.74305174301277
0,0.01,200,1,8,61.924746496600314
0,0.01,200,2,1,34.41453165693614
0,0.01,200,2,2,60.9871362348882
0,0.01,200,2,4,72.01204615064067
0,0.01,200,2,8,74.53831548889222
0,0.01,200,4,1,36.44144152724335
0,0.01,200,4,2,60.95075736572771
0,0.01,200,4,4,61.187576184795205
0,0.01,200,4,8,64.39562029902568
0,0.01,200,8,1,35.80040735194142
0,0.01,200,8,2,65.34843669559625
0,0.01,200,8,4,69.95227211131284
0,0.01,200,8,8,67.10742841213333
0,0.01,100,1,1,34.89772600345762
0,0.01,100,1,2,50.28130583822257
0,0.01,100,1,4,63.234663690954775
0,0.01,100,1,8,65.11935965628561
0,0.01,100,2,1,40.13004739453891
0,0.01,100,2,2,69.15752276297867
0,0.01,100,2,4,77.82051220437306
0,0.01,100,2,8,81.51134601554779
0,0.01,100,4,1,44.067514337147905
0,0.01,100,4,2,69.20326906431684
0,0.01,100,4,4,78.22270660208274
0,0.01,100,4,8,84.22299732829022
0,0.01,100,8,1,44.85266020507506
0,0.01,100,8,2,74.37133174793843
0,0.01,100,8,4,84.15011935846088
0,0.01,100,8,8,85.98737446570213
1,10.0,500,1,1,4.371008223582404
1,10.0,500,1,2,4.419139865365001
1,10.0,500,1,4,4.798718424417681
1,10.0,500,1,8,4.939122573212057
1,10.0,500,2,1,3.8141850984303174
1,10.0,500,2,2,4.63200466581383
1,10.0,500,2,4,5.787996222230513
1,10.0,500,2,8,6.582445913774277
1,10.0,500,4,1,3.7615478730335266
1,10.0,500,4,2,4.9601750306041135
1,10.0,500,4,4,7.469659598278904
1,10.0,500,4,8,10.048037163659634
1,10.0,500,8,1,3.9886963391975736
1,10.0,500,8,2,5.212587658627618
1,10.0,500,8,4,8.363898363646125
1,10.0,500,8,8,12.23254910968876
1,10.0,300,1,1,6.301903621748948
1,10.0,300,1,2,5.809674304230852
1,10.0,300,1,4,5.995976052387199
1,10.0,300,1,8,6.1809864632150155
1,10.0,300,2,1,4.979276435099649
1,10.0,300,2,2,5.147312255518461
1,10.0,300,2,4,6.120480485392492
1,10.0,300,2,8,6.903036483259305
1,10.0,300,4,1,4.7018286860714165
1,10.0,300,4,2,5.267510413334732
1,10.0,300,4,4,7.639253895063456
1,10.0,300,4,8,10.178126229323306
1,10.0,300,8,1,4.765241563724187
1,10.0,300,8,2,5.426927131069433
1,10.0,300,8,4,8.4475532826744
1,10.0,300,8,8,12.329530353001527
1,10.0,200,1,1,8.899142671932514
1,10.0,200,1,2,7.924932668502173
1,10.0,200,1,4,7.7793054563880615
1,10.0,200,1,8,7.625706624292295
1,10.0,200,2,1,7.127124937981079
1,10.0,200,2,2,6.0980253431695
1,10.0,200,2,4,6.7983020906633715
1,10.0,200,2,8,7.48127621906629
1,10.0,200,4,1,6.742393446304185
1,10.0,200,4,2,5.813724511893843
1,10.0,200,4,4,7.811385174364734
1,10.0,200,4,8,10.332844404733464
1,10.0,200,8,1,6.365556491638589
1,10.0,200,8,2,5.840260815479242
1,10.0,200,8,4,8.620440397407993
1,10.0,200,8,8,12.373807753341346
1,10.0,100,1,1,15.293406263696927
1,10.0,100,1,2,13.147366748170095
1,10.0,100,1,4,12.544774697972873
1,10.0,100,1,8,12.403578924713688
1,10.0,100,2,1,13.602354777058164
1,10.0,100,2,2,10.501355401613456
1,10.0,100,2,4,9.558866521125879
1,10.0,100,2,8,9.908562519662208
1,10.0,100,4,1,12.652664091006823
1,10.0,100,4,2,8.981840887521876
1,10.0,100,4,4,8.77379468155106
1,10.0,100,4,8,10.868158929161897
1,10.0,100,8,1,12.047686083216012
1,10.0,100,8,2,8.20060740756606
1,10.0,100,8,4,9.193436553611669
1,10.0,100,8,8,12.632383850034765
1,1.0,500,1,1,2.6918292993439685
1,1.0,500,1,2,2.5551257209677907
1,1.0,500,1,4,2.998406304797991
1,1.0,500,1,8,3.261048537056012
1,1.0,500,2,1,1.9437725298885205
1,1.0,500,2,2,2.7721236434598127
1,1.0,500,2,4,4.345560039779243
1,1.0,500,2,8,5.081193859357952
1,1.0,500,4,1,1.7429350886905317
1,1.0,500,4,2,3.2900702230733474
1,1.0,500,4,4,5.924733139016025
1,1.0,500,4,8,8.265639999174127
1,1.0,500,8,1,1.7888428665675282
1,1.0,500,8,2,3.52992804435034
1,1.0,500,8,4,6.526730374475685
1,1.0,500,8,8,9.309304937359611
1,1.0,300,1,1,5.7720689609820175
1,1.0,300,1,2,4.939740409053687
1,1.0,300,1,4,4.791272796807518
1,1.0,300,1,8,4.996217059536731
1,1.0,300,2,1,4.1065942907354716
1,1.0,300,2,2,3.6294265554742986
1,1.0,300,2,4,4.741426460246926
1,1.0,300,2,8,5.4113798114365474
1,1.0,300,4,1,3.483540114207804
1,1.0,300,4,2,3.6752763293951256
1,1.0,300,4,4,6.050412742470389
1,1.0,300,4,8,8.358070228926062
1,1.0,300,8,1,3.303626501147191
1,1.0,300,8,2,3.857123208374355
1,1.0,300,8,4,6.646745513529976
1,1.0,300,8,8,9.3879807187871
1,1.0,200,1,1,8.899449157813084
1,1.0,200,1,2,7.41175631158462
1,1.0,200,1,4,7.261745541068115
1,1.0,200,1,8,7.220203864265381
1,1.0,200,2,1,7.484573520902505
1,1.0,200,2,2,5.49844164879337
1,1.0,200,2,4,5.5700187017102865
1,1.0,200,2,8,6.151979465901764
1,1.0,200,4,1,6.414596256624266
1,1.0,200,4,2,4.5612649160378025
1,1.0,200,4,4,6.249322778251062
1,1.0,200,4,8,8.50610558627584
1,1.0,200,8,1,5.945522630464477
1,1.0,200,8,2,4.486224813106279
1,1.0,200,8,4,6.824215396035237
1,1.0,200,8,8,9.548399059060344
1,1.0,100,1,1,15.02002930131637
1,1.0,100,1,2,14.519260768305548
1,1.0,100,1,4,14.448447960525641
1,1.0,100,1,8,13.642980767590839
1,1.0,100,2,1,14.270532104580107
1,1.0,100,2,2,12.61313411453165
1,1.0,100,2,4,11.423273963681183
1,1.0,100,2,8,10.601099576239335
1,1.0,100,4,1,12.724866291535294
1,1.0,100,4,2,9.970759556953428
1,1.0,100,4,4,7.730110734588098
1,1.0,100,4,8,9.23789784319351
1,1.0,100,8,1,12.118363599435568
1,1.0,100,8,2,8.876871475834621
1,1.0,100,8,4,7.565024214741742
1,1.0,100,8,8,10.087877578948486
1,0.1,500,1,1,5.89946668121812
1,0.1,500,1,2,4.077309713314776
1,0.1,500,1,4,4.0368721961049925
1,0.1,500,1,8,3.495103408091376
1,0.1,500,2,1,2.821754657464718
1,0.1,500,2,2,1.9195920208761361
1,0.1,500,2,4,3.220896181296963
1,0.1,500,2,8,4.221871584559823
1,0.1,500,4,1,1.8360039881577737
1,0.1,500,4,2,2.0026913654075917
1,0.1,500,4,4,4.8022335577889885
1,0.1,500,4,8,7.032641463879177
1,0.1,500,8,1,1.4391204987973014
1,0.1,500,8,2,2.0306094993781656
1,0.1,500,8,4,4.467885180467359
1,0.1,500,8,8,6.6668668081122915
1,0.1,300,1,1,13.428342173744168
1,0.1,300,1,2,12.82338910610233
1,0.1,300,1,4,13.136287376996036
1,0.1,300,1,8,12.824745095380049
1,0.1,300,2,1,9.371263903988785
1,0.1,300,2,2,4.913573806309296
1,0.1,300,2,4,4.20975286632798
1,0.1,300,2,8,5.426321179938721
